"store","sku","qty","is_in_stock"
"admin","BA_WOMAN_199899_2399_L_XS","1.0000","1"
"admin","BA_WOMAN_199899_2399_L_S","1.0000","1"
"admin","BA_WOMAN_199899_2399_L_M","1.0000","1"
"admin","BA_WOMAN_199899_2474","0.0000","1"
"admin","BA_WOMAN_199899_2474_L_M","1.0000","1"
"admin","AE_MAN_190983_2999_CN_LS_L","2.0000","1"
"admin","MP_1901653_2474_CN_LS","0.0000","1"
"admin","MP_1901653_2474_CN_LS_S","5.0000","1"
"admin","MP_1901653_2474_CN_LS_M","5.0000","1"
"admin","MP_1901653_2474_CN_LS_L","1.0000","1"
"admin","MP_1901653_2474_CN_LS_XS","2.0000","1"
"admin","MP_1901653_2430_CN_LS","0.0000","1"
"admin","MP_1901653_2430_CN_LS_S","1.0000","1"
"admin","MP_1901653_2430_CN_LS_M","1.0000","1"
"admin","MP_1900251_2999_RN_LS","0.0000","1"
"admin","MP_1900251_2999_RN_LS_S","1.0000","1"
"admin","MP_1900251_2999_RN_LS_M","0.0000","1"
"admin","SW_1900846_2900","0.0000","1"
"admin","SW_1900846_2900_34_36","2.0000","1"
"admin","SW_1900846_2900_37_39","4.0000","1"
"admin","SW_1900846_2900_40_42","4.0000","1"
"admin","SW_1900846_2900_43_45","4.0000","1"
"admin","SW_1900846_2999_34_36","4.0000","1"
"admin","SW_1900846_2999_37_39","8.0000","1"
"admin","SW_1900846_2999_40_42","8.0000","1"
"admin","SW_1900846_2999_43_45","8.0000","1"
"admin","SW_1900846_2999","0.0000","1"
"admin","SA_1900743_2999","0.0000","1"
"admin","SA_1900847_2999_34_36","4.0000","1"
"admin","SA_1900847_2999_37_39","8.0000","1"
"admin","SA_1900847_2999_40_42","8.0000","1"
"admin","SA_1900847_2999_43_45","8.0000","1"
"admin","SA_1900847_2900_34_36","4.0000","1"
"admin","SA_1900847_2900_37_39","4.0000","1"
"admin","SA_1900847_2900_40_42","4.0000","1"
"admin","SA_1900847_2900_43_45","4.0000","1"
"admin","SA_1900847_2900","0.0000","0"
"admin","SW_1900741_2999","0.0000","1"
"admin","SW_1900741_2999_37_39","2.0000","1"
"admin","SW_1900741_2999_40_42","2.0000","1"
"admin","SW_1900741_2999_43_45","2.0000","1"
"admin","SW_1900742_2999","0.0000","1"
"admin","SW_1900742_2999_37_39","2.0000","1"
"admin","SW_1900742_2999_40_42","2.0000","1"
"admin","SW_1900742_2999_43_45","2.0000","1"
"admin","SA_1900743_2999_37_39","2.0000","1"
"admin","SA_1900743_2999_40_42","2.0000","1"
"admin","SA_1900847_2999","0.0000","1"
